student_id,name,year,Math,Physics,CS,English,Statistics
S001,Ali,2024,54.0,85.0,80.0,70.0,69.0
S001,Ali,2025,66.0,87.0,87.0,73.0,64.0
S002,Sara,2024,89.0,53.0,82.0,59.0,54.0
S002,Sara,2025,91.0,64.0,94.0,71.0,58.0
S003,Omar,2024,74.0,,83.0,85.0,83.0
S003,Omar,2025,72.0,97.0,88.0,83.0,95.0
S004,Lena,2024,86.0,73.0,55.0,88.0,70.0
S004,Lena,2025,89.0,72.0,56.0,82.0,74.0
S005,Tariq,2024,73.0,67.0,58.0,92.0,85.0
S005,Tariq,2025,72.0,78.0,56.0,89.0,89.0
S006,Maya,2024,79.0,68.0,87.0,,70.0
S006,Maya,2025,77.0,67.0,87.0,81.0,67.0
S007,Khalid,2024,70.0,60.0,54.0,75.0,90.0
S007,Khalid,2025,81.0,59.0,62.0,86.0,96.0
S008,Nour,2024,,89.0,88.0,62.0,79.0
S008,Nour,2025,51.0,95.0,96.0,70.0,71.0
S009,Reem,2024,57.0,84.0,82.0,66.0,53.0
S009,Reem,2025,50.0,82.0,81.0,72.0,46.0
S010,Jad,2024,94.0,70.0,91.0,81.0,85.0
S010,Jad,2025,95.0,78.0,100.0,74.0,
S011,Hana,2024,84.0,58.0,66.0,71.0,72.0
S011,Hana,2025,82.0,63.0,75.0,75.0,76.0
S012,Zaid,2024,52.0,75.0,,84.0,81.0
S012,Zaid,2025,56.0,73.0,62.0,79.0,83.0
S013,Dina,2024,92.0,84.0,66.0,94.0,68.0
S013,Dina,2025,100.0,80.0,59.0,87.0,60.0
S014,Faris,2024,64.0,,67.0,53.0,71.0
S014,Faris,2025,61.0,88.0,60.0,62.0,65.0
S015,Layla,2024,86.0,58.0,71.0,55.0,81.0
S015,Layla,2025,83.0,55.0,74.0,,82.0
